fund_name,aum_millions,investment_focus,website_summary
Quantum Value Partners,850,"Deep value, contrarian bets on out-of-favor sectors",We use proprietary research frameworks to identify mispriced assets. Our team publishes quarterly research notes.
Momentum Capital,2400,Trend-following systematic strategies,Algorithmic trading based on price momentum. Fully automated systems.
Greenfield Research Fund,320,Small-cap fundamental analysis,Intensive primary research on overlooked small caps. We visit every company we invest in.
Index Plus Alpha,5600,Enhanced indexing with factor tilts,Low-cost index exposure with systematic factor overlays.
Catalyst Event Partners,780,"Event-driven, merger arbitrage",We analyze M&A deals and corporate actions. Heavy use of data rooms and legal document analysis.
Artemis Long/Short,1200,Fundamental long/short equity,Bottom-up stock picking with extensive channel checks and expert network calls.
Passive Global ETF,12000,Passive global equity exposure,Track the MSCI World Index at lowest cost.
Boutique Micro Fund,45,Micro-cap special situations,Two-person team finding hidden gems in micro-caps. We do all our own research.
Quant Systematic Alpha,3200,Statistical arbitrage and market-making,"High-frequency strategies. Technology-first, no fundamental research."
Deep Dive Capital,520,"Concentrated positions, 18-month holding period",We spend 6 months researching each position. Our analysts produce 100-page reports.
Global Macro Partners,2800,Top-down macro bets,"Trade currencies, rates, and commodities based on macro research and geopolitical analysis."
Tiny Ventures GP,28,Pre-seed and seed venture,Solo GP backing technical founders. Hands-on support.
Credit Opportunities Fund,1500,Distressed debt and special situations credit,"Deep credit analysis, bankruptcy expertise, legal document review."
ESG Impact Capital,680,ESG-focused public equities,Proprietary ESG scoring using alternative data. We analyze sustainability reports.
Robo Allocation Fund,890,Automated asset allocation,AI-driven portfolio construction. No human stock picking.
Sector Specialist Partners,410,Healthcare and biotech specialist,Former pharma executives. We read every FDA filing and clinical trial result.
Family Office Alpha,95,Multi-asset family office,Small team managing family wealth. Looking for good research sources.
Activist Value Fund,1800,Activist investing in underperforming companies,We conduct deep operational analysis before taking board seats.
Nano Cap Hunters,62,Nano-cap equities under $50M market cap,Three analysts covering the smallest public companies. We need every research edge.
Fixed Income Plus,4200,Investment grade bonds with active duration,Yield curve positioning and credit selection. Bloomberg terminal-centric workflow.
