company_name,industry,employees,description
Midwest Healthcare Network,Healthcare,12000,"Regional hospital system with 15 facilities across 4 states. Uses Epic, Cerner, and various departmental systems."
TechFlow Solutions,Software,85,"B2B SaaS startup. Single product, cloud-native, all data in Snowflake."
Continental Manufacturing Group,Manufacturing,8500,"Industrial equipment manufacturer with 22 plants globally. Mix of SAP, Oracle, and legacy MES systems."
QuickServe Restaurants,Food Service,45000,"Fast food franchise with 2,000+ locations. Each franchise uses different POS systems."
DataPure Analytics,Software,120,"Analytics platform company. Unified tech stack, modern data infrastructure."
First National Bancorp,Banking,6000,"Regional bank formed from 5 acquisitions. Still running multiple core banking systems."
GreenEnergy Utilities,Utilities,3500,"Power company serving 3 states. SCADA systems, customer billing, and field service all separate."
SimpleRetail Co,Retail,200,"DTC e-commerce brand. Shopify store, all operations in one platform."
Global Logistics Partners,Logistics,15000,"Freight forwarding across 40 countries. Different TMS in each region, acquired 3 competitors."
Boutique Law LLP,Legal,50,"Small law firm. Single office, uses Clio for everything."
MultiState Insurance Group,Insurance,4200,"Property & casualty insurer in 12 states. Each state has different regulatory systems and legacy policy admin."
CloudFirst Startup,Software,25,"Seed-stage startup. Everything runs on Notion, Slack, and a single Postgres database."
Heritage Hotels International,Hospitality,9000,"Hotel chain with 150 properties. Mix of Opera, Cloudbeds, and independent PMS systems from acquisitions."
Precision Machining Inc,Manufacturing,180,"Single-site machine shop. One ERP system (JobBOSS), straightforward operations."
United School Districts,Education,7500,"Consortium of 8 school districts sharing services. Each district has its own SIS, HR, and finance systems."
NanoTech Labs,Biotech,95,"Research-stage biotech. Lab systems integrated, small team, modern stack."
TransGlobal Shipping,Logistics,22000,"Container shipping line. Vessel systems, port operations, and customer portals all disconnected."
CityMed Physicians Group,Healthcare,800,"Physician practice with 40 clinics formed from 12 merged practices. 4 different EHR systems still in use."
Unified Software Corp,Software,350,"Enterprise software company. Dogfoods own integration platform, pristine data."
Regional Auto Dealers,Automotive,1200,"Auto dealer group with 25 dealerships. Each uses different DMS systems from CDK, Reynolds, Dealertrack."
