company,title,location,description
TechCorp,Senior Backend Engineer,Remote (US),"We're looking for a senior backend engineer with 7+ years experience. Python/Go preferred. $180k-220k + equity."
StartupXYZ,Full Stack Developer,"San Francisco, CA",Join our fast-growing team! 2+ years experience. Competitive salary and benefits.
DataDriven Inc,Staff Data Scientist,Hybrid (NYC),"Staff-level data scientist needed. 8+ years ML experience. Base $200-250k, total comp up to $400k."
CloudFirst,Junior DevOps Engineer,Remote,Entry level DevOps role. 0-2 years experience. $70-90k depending on experience.
Enterprise Solutions,Principal Architect,On-site Boston,Principal architect for our platform team. 15+ years experience required. Salary DOE.
RemoteFirst Co,Lead Frontend Engineer,"100% Remote, Anywhere",Lead our frontend team. React/TypeScript expert with 6+ years. $160-200k base.
FinTech Pro,Senior Security Engineer,Remote (EU timezone),Senior security engineer for our payments platform. 5+ years in security. EUR 90-120k.
AI Labs,ML Engineer,"Palo Alto, CA",Work on cutting-edge AI. Strong ML background needed. Top of market compensation.
HealthTech,Senior Product Manager,Distributed team,Senior PM for our patient platform. 7+ years product experience. $175-210k + bonus.
GameStudio,Graphics Programmer,Austin TX (no remote),C++ graphics programmer. 3+ years game dev experience. Competitive pay.
CryptoVentures,Blockchain Developer,Remote OK,Solidity developer needed. Any experience level. Compensation in tokens + fiat TBD.
MegaCorp,Staff SRE,Hybrid (Seattle),"Staff SRE for our infrastructure. 10+ years experience. $190-240k + RSUs worth $50-100k/yr."
Stealth Startup,Founding Engineer,SF or Remote,"Early founding engineer. 5+ years. Significant equity, salary flexible."
ConsultingGroup,Senior Consultant,Travel required,Senior tech consultant. 8+ years. $150-180k + travel bonuses.
EdTech Plus,Senior iOS Developer,Remote first,Senior iOS dev for our learning app. 5+ years Swift. $140-170k.
